Experiences Offered;Review Scores Communication;Review Scores Location;Review Scores Value;Review Scores Rating;Review Scores Accuracy;Jurisdiction Names;Cancellation Policy;Calculated host listings count;Reviews per Month;Host Neighbourhood;Host Total Listings Count;Latitude;Longitude;Property Type;Room Type;Bathrooms;Bedrooms;Beds;Bed Type;Square Feet;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Number of Reviews
none;10.0;9.0;10.0;94.0;10.0;None;moderate;1.0;5.54;Villaverde;1.0;40.35866370612916;-3.6862892266145786;Apartment;Private room;2.0;1.0;1.0;Real Bed;394.07081545064375;18.0;0.0;5.0;2;5;2;31
none;10.0;10.0;10.0;98.0;10.0;None;moderate;1.0;3.0;Embajadores;1.0;40.40619211520472;-3.7006495713007017;Apartment;Entire home/apt;1.0;1.0;1.0;Real Bed;394.07081545064375;69.0;0.0;25.0;2;10;2;21
none;0.0;0.0;0.0;0.0;0.0;None;moderate;1.0;0.0;No data;1.0;40.430460497087395;-3.676479580596987;Apartment;Entire home/apt;2.0;2.0;3.0;Real Bed;394.07081545064375;130.0;200.0;50.0;4;15;3;0
none;0.0;0.0;0.0;0.0;0.0;None;flexible;29.0;0.0;Moncloa;32.0;40.43179543361533;-3.6538867889861346;Apartment;Entire home/apt;1.0;2.0;3.0;Real Bed;394.07081545064375;63.0;150.0;0.0;1;0;4;0
none;10.0;10.0;10.0;100.0;10.0;None;moderate;1.0;4.82;Embajadores;1.0;40.41082153908445;-3.7001255950047813;Apartment;Entire home/apt;1.0;0.0;2.0;Real Bed;394.07081545064375;69.0;0.0;12.0;2;15;1;9
none;9.0;9.0;9.0;90.0;9.0;None;flexible;1.0;1.15;No data;1.0;40.437336507713376;-3.71197484637786;Apartment;Entire home/apt;1.0;2.0;2.0;Real Bed;394.07081545064375;45.0;100.0;30.0;1;10;2;6
none;10.0;10.0;10.0;96.0;10.0;None;strict;4.0;2.58;Embajadores;4.0;40.40925238760817;-3.6974540724743497;Apartment;Entire home/apt;1.0;1.0;1.0;Real Bed;394.07081545064375;59.0;200.0;50.0;1;0;3;50
none;0.0;0.0;0.0;0.0;0.0;None;flexible;4.0;0.0;Cortes;4.0;40.41379024424005;-3.699907518656017;Apartment;Private room;2.0;1.0;2.0;Real Bed;394.07081545064375;36.0;92.0;12.0;1;0;2;0
none;10.0;8.0;10.0;100.0;10.0;None;flexible;2.0;1.14;Berruguete;2.0;40.45914747668359;-3.704163854731713;Apartment;Entire home/apt;1.0;1.0;1.0;Real Bed;394.07081545064375;45.0;95.0;0.0;1;0;5;5
none;10.0;10.0;10.0;100.0;10.0;None;moderate;2.0;0.18;Rios Rosas;2.0;40.44289032241539;-3.6974687331596674;Apartment;Entire home/apt;2.0;2.0;2.0;Real Bed;394.07081545064375;72.0;0.0;36.0;1;0;2;3
none;9.0;10.0;9.0;94.0;10.0;None;moderate;1.0;0.48;Palacio;2.0;40.41949343010403;-3.7121640979799664;Apartment;Entire home/apt;2.0;2.0;2.0;Real Bed;394.07081545064375;220.0;300.0;80.0;1;0;3;23
none;0.0;0.0;0.0;0.0;0.0;None;flexible;29.0;0.0;Cortes;39.0;40.411068445106245;-3.6945414942697363;Apartment;Entire home/apt;1.0;0.0;2.0;Real Bed;394.07081545064375;89.0;0.0;0.0;1;0;1;0
none;9.0;9.0;9.0;85.0;9.0;None;flexible;4.0;0.43;Embajadores;4.0;40.407398347189975;-3.700029458929916;Apartment;Entire home/apt;1.0;0.0;1.0;Pull-out Sofa;394.07081545064375;35.0;0.0;0.0;1;0;6;17
none;0.0;0.0;0.0;0.0;0.0;None;moderate;2.0;0.0;No data;2.0;40.4019840002821;-3.7097449497831465;Apartment;Entire home/apt;1.0;1.0;1.0;Real Bed;394.07081545064375;65.0;0.0;25.0;1;0;1;0
none;10.0;10.0;9.0;100.0;10.0;None;strict;1.0;0.74;No data;1.0;40.399155689644296;-3.697128854087;Apartment;Entire home/apt;1.0;1.0;2.0;Real Bed;394.07081545064375;70.0;250.0;30.0;1;15;2;5
none;0.0;0.0;0.0;0.0;0.0;None;flexible;1.0;0.0;No data;1.0;40.41735279390013;-3.715308364899317;Bed & Breakfast;Private room;2.0;1.0;2.0307784124818826;Real Bed;394.07081545064375;50.0;0.0;0.0;1;0;7;0
none;10.0;10.0;10.0;98.0;10.0;None;strict;5.0;0.78;Moratalaz;6.0;40.411875399234155;-3.66957098362788;Apartment;Entire home/apt;2.0;2.0;3.0;Real Bed;394.07081545064375;140.0;100.0;50.0;1;0;3;8
none;9.0;9.0;9.0;98.0;9.0;None;flexible;2.0;2.39;Embajadores;2.0;40.40806012429906;-3.6950344989817614;Apartment;Entire home/apt;1.0;2.0;2.0;Real Bed;394.07081545064375;55.0;200.0;20.0;1;0;2;14
none;9.0;8.0;10.0;97.0;10.0;None;flexible;1.0;0.65;No data;1.0;40.38744356679144;-3.7284517713078222;Apartment;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;28.0;0.0;5.0;1;0;1;7
none;10.0;10.0;9.0;98.0;10.0;None;strict;2.0;1.6;Recoletos;2.0;40.41876307798153;-3.6885224259653775;Apartment;Entire home/apt;2.5;2.0;2.0;Real Bed;394.07081545064375;210.0;0.0;85.0;4;0;2;78
none;10.0;10.0;10.0;94.0;10.0;None;flexible;1.0;0.39;No data;1.0;40.395457906335714;-3.693160354075232;Apartment;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;23.0;0.0;0.0;1;0;1;8
none;10.0;10.0;10.0;95.0;10.0;None;moderate;1.0;1.44;Justicia;1.0;40.42207485529661;-3.6989243998188734;Apartment;Private room;1.0;1.0;1.0;Pull-out Sofa;394.07081545064375;39.0;0.0;18.0;1;20;2;21
none;0.0;0.0;0.0;0.0;0.0;None;flexible;3.0;0.0;Sol;4.0;40.41369127288512;-3.719276076516096;Apartment;Entire home/apt;1.0;1.0;1.0;Real Bed;394.07081545064375;53.0;100.0;30.0;2;12;2;0
none;10.0;10.0;10.0;97.0;10.0;None;moderate;1.0;2.9;Malasaña;1.0;40.42539763868905;-3.7027501869079096;Apartment;Entire home/apt;1.0;1.0;2.0;Real Bed;394.07081545064375;85.0;0.0;0.0;2;20;2;62
none;10.0;8.0;10.0;100.0;10.0;None;flexible;2.0;0.06;Ciudad Lineal;2.0;40.42381034319044;-3.657539858695669;House;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;37.0;0.0;0.0;1;0;2;1
none;0.0;0.0;0.0;0.0;0.0;None;flexible;1.0;0.0;Vallehermosa;1.0;40.442680169638436;-3.715419540147522;Apartment;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;50.0;200.0;10.0;1;0;1;0
none;10.0;10.0;10.0;98.0;10.0;None;flexible;2.0;1.77;Ciudad Jardin;2.0;40.44659958973524;-3.671193812260936;Bed & Breakfast;Private room;0.5;1.0;1.0;Real Bed;394.07081545064375;29.0;0.0;0.0;1;10;3;40
none;10.0;10.0;9.0;91.0;9.0;None;flexible;1.0;1.11;Sol;2.0;40.417498552045366;-3.7006322633563467;Apartment;Entire home/apt;1.0;2.0;4.0;Real Bed;394.07081545064375;162.0;0.0;0.0;2;7;1;27
none;0.0;0.0;0.0;0.0;0.0;None;strict;38.0;0.0;Malasaña;38.0;40.414144335138886;-3.700064399338189;Apartment;Private room;3.0;1.0;1.0;Real Bed;394.07081545064375;32.0;0.0;0.0;1;0;7;0
none;0.0;0.0;0.0;0.0;0.0;None;strict;39.0;0.0;La Latina;68.0;40.43682387025262;-3.6854000218291154;Apartment;Entire home/apt;1.0;2.0;2.0;Real Bed;394.07081545064375;180.0;500.0;250.0;1;0;30;0
none;10.0;10.0;10.0;99.0;10.0;None;strict;4.0;6.7;Cortes;6.0;40.4137296530969;-3.6984825759725455;Apartment;Entire home/apt;1.0;1.0;2.0;Real Bed;394.07081545064375;110.0;200.0;30.0;2;10;1;48
none;10.0;10.0;10.0;94.0;10.0;None;strict;2.0;5.6;La Latina;2.0;40.41126359676589;-3.7072645304918033;Apartment;Entire home/apt;1.0;1.0;1.0;Real Bed;394.07081545064375;53.0;0.0;30.0;1;0;3;17
none;9.0;9.0;9.0;86.0;9.0;None;moderate;1.0;3.65;No data;1.0;40.408992110506354;-3.698681920387008;Apartment;Entire home/apt;1.0;1.0;2.0;Real Bed;394.07081545064375;35.0;0.0;0.0;1;0;3;28
none;10.0;9.0;8.0;86.0;9.0;None;moderate;1.0;0.27;Montmartre;2.0;40.447978168401434;-3.705891553079563;Apartment;Entire home/apt;1.0;2.0;4.0;Real Bed;394.07081545064375;70.0;200.0;20.0;4;10;2;16
none;0.0;0.0;0.0;0.0;0.0;None;flexible;1.0;0.14;No data;1.0;40.38562008527588;-3.6732520542082736;Apartment;Shared room;1.0;1.0;1.0;Couch;394.07081545064375;20.0;0.0;0.0;1;0;1;1
none;0.0;0.0;0.0;0.0;0.0;None;flexible;1.0;0.0;No data;1.0;40.436690043889044;-3.706357466952855;Condominium;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;35.0;0.0;9.0;1;0;6;0
none;9.0;8.0;8.0;84.0;10.0;None;moderate;1.0;0.35;Moratalaz;1.0;40.408961825468396;-3.661040980138648;House;Private room;2.0;4.0;1.0;Pull-out Sofa;394.07081545064375;29.0;150.0;12.0;1;12;2;5
none;10.0;9.0;9.0;92.0;10.0;None;moderate;7.0;1.4;La Latina;7.0;40.40817613819094;-3.708096711234473;Apartment;Entire home/apt;1.0;0.0;2.0;Real Bed;394.07081545064375;64.0;150.0;0.0;2;15;3;26
none;9.0;9.0;9.0;86.0;8.0;None;moderate;1.0;0.41;Embajadores;1.0;40.407955445248646;-3.7029459614308484;Apartment;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;25.0;0.0;10.0;1;10;3;18
